ID,Name,Party,Position,NumberOfVotes
1,John Smith,Democratic Party,Mayor,24
2,Sarah Johnson,Republican Party,Mayor,21
3,Michael Davis,Independent,Mayor,30
4,Emily Wilson,Green Party,City Council,18
5,Robert Thompson,Democratic Party,City Council,19
6,Jennifer Anderson,Republican Party,City Council,9
7,Christopher Martinez,Independent,City Council,10
8,Amanda Taylor,Democratic Party,City Council,14
9,Daniel Harris,Republican Party,City Council,34
10,Olivia Robinson,Green Party,City Council,13
